sensor,psi,ks_stat,ks_pvalue,severity
sensor_203,0.14455214780085132,0.07857045748079672,0.10177467161814299,moderate
sensor_305,0.14324097344049916,0.16552239820542453,4.304219413656564e-06,moderate
sensor_29,0.1427161346507694,0.13280198490925155,0.0004305217841012326,moderate
sensor_576,0.1391984612269613,0.09511589966691592,0.0267741962762242,moderate
sensor_140,0.13861266956377563,0.11949901434300864,0.0022549280056994654,moderate
sensor_277,0.13639477313246878,0.07718034124124806,0.11435476164218884,moderate
sensor_15,0.13454057483854412,0.11625314390592073,0.003227513858267275,moderate
sensor_10,0.13406498950897316,0.14540819794711435,8.137424177564985e-05,moderate
sensor_120,0.133047346985155,0.12720073414451766,0.0008919828704159454,moderate
sensor_20,0.13252689060978223,0.15690299775678063,1.672165156564276e-05,moderate
sensor_184,0.13062705422034276,0.1111447216368705,0.005570346589099575,moderate
sensor_76,0.1298388663555748,0.08182992318673099,0.07957009947073593,moderate
sensor_470,0.12938945822274298,0.11544762422676913,0.0034848248412497787,moderate
sensor_219,0.12600239676598962,0.09283529331792537,0.03283971770388104,moderate
sensor_228,0.12142673561272449,0.16671198422948807,3.3862555495227096e-06,moderate
sensor_251,0.12096650669974798,0.12385629800829323,0.0013646403832376739,moderate
sensor_107,0.12034146292300131,0.08181632791788458,0.07958486058363952,moderate
sensor_207,0.11936483435972538,0.09440214805247776,0.027568691020112272,moderate
sensor_96,0.11912934293313023,0.06570253551763988,0.24703566323679188,moderate
sensor_473,0.11784008261131218,0.15912922303038546,1.1592115458102028e-05,moderate
sensor_223,0.11707028389247534,0.1324077221127048,0.00048183162329847046,moderate
sensor_271,0.11671569514589772,0.12533818231255528,0.0010771591304912732,moderate
sensor_136,0.11669063094459217,0.11789137380191694,0.002554087425067978,moderate
sensor_81,0.1165996300442579,0.1354598599687309,0.00032751246841000123,moderate
sensor_479,0.11580656588062681,0.09120725987356398,0.036593356436847455,moderate
sensor_475,0.11517437996460661,0.07430494188022568,0.13891478743437952,moderate
sensor_164,0.11443588810312495,0.10579498334579573,0.009678339827130764,moderate
sensor_106,0.11294893131708164,0.06713343756372792,0.22849982690857282,moderate
sensor_334,0.11237094114399747,0.13249269254299506,0.0004683083884878843,moderate
sensor_389,0.11186005106405177,0.1409353544966352,0.00015943782781116387,moderate
sensor_299,0.11094996759479706,0.11215756916593023,0.005034325125083537,moderate
sensor_435,0.11048472179625544,0.08543946706546135,0.06135646231350263,moderate
sensor_574,0.11018502326035695,0.10252872000543811,0.013419385758452038,moderate
sensor_495,0.10951167480612871,0.1419617972945415,0.0001396274863510289,moderate
sensor_572,0.10760730755164717,0.08872952212630014,0.046647191623438874,moderate
sensor_523,0.10722174020876438,0.13454897695601942,0.0003668758672315077,moderate
sensor_409,0.10716695227390702,0.11257222486574675,0.004581472242852918,moderate
sensor_93,0.10463123442129614,0.06606960777649377,0.24436139818394878,moderate
sensor_520,0.10124161384719749,0.10032288763510297,0.016582694991006234,moderate
sensor_541,0.10105239841865164,0.08857657535177765,0.04734486401890071,moderate
sensor_172,0.10088276780333588,0.07864523145945201,0.1015547093761731,moderate
sensor_174,0.10088276780333588,0.07864523145945201,0.1015547093761731,moderate
sensor_437,0.09898554094128445,0.0981374481680376,0.02030352580372799,stable
sensor_9,0.09836772722002897,0.14084018761471018,0.00016248476572973197,stable
sensor_30,0.09672723324051269,0.09836856773842695,0.019780264984966982,stable
sensor_320,0.09600090520432761,0.10802120861940046,0.007621187725035088,stable
sensor_413,0.09568473482775652,0.13595948609883757,0.0002865354861617517,stable
sensor_333,0.094287466541815,0.08892665352457346,0.04507951850233592,stable
sensor_113,0.09266440366449924,0.14099313438923256,0.0001560947052277524,stable
sensor_298,0.0919915851338298,0.12386309564271636,0.0013628198482965302,stable
sensor_457,0.08989761624063596,0.09666236149819862,0.022446066375232325,stable
sensor_575,0.0898595013012382,0.10939433077289096,0.006416605423756479,stable
sensor_443,0.08957465293239544,0.07970906124668609,0.09372185890139662,stable
sensor_321,0.08938391260975671,0.09130582557270062,0.03622260403728342,stable
sensor_488,0.08776040849064001,0.10347699000747737,0.012205768616086585,stable
sensor_118,0.08739286074105294,0.12484535381687173,0.0012159448579494082,stable
sensor_469,0.0848874858927869,0.10810617904969072,0.007446883990318066,stable
sensor_445,0.08484853190676568,0.07439670994493908,0.13849117082043633,stable
sensor_185,0.08437932257649192,0.09663517096050578,0.02247255124272639,stable
sensor_117,0.08391474002011462,0.08247569845693692,0.07668742779154114,stable
sensor_248,0.08320322042951034,0.0918768268642512,0.03573169645154422,stable
sensor_494,0.080757038322067,0.08136088641152878,0.08394883733987665,stable
sensor_388,0.08006200787568642,0.04436476106315007,0.7218265774188198,stable
sensor_197,0.08001778661204685,0.1102508327102169,0.005943353216532739,stable
sensor_365,0.07991586259994034,0.11661681734756302,0.0029995707239154016,stable
sensor_525,0.0797883111866075,0.12952212630004759,0.0006472054297335412,stable
sensor_253,0.07893680999588534,0.13047719393651008,0.0005842600141840001,stable
sensor_239,0.07747180522508026,0.07700020392903267,0.1170821354460793,stable
sensor_585,0.07678485118318101,0.10593773366868331,0.009346729882411049,stable
sensor_391,0.07639669759499158,0.11979471144041876,0.0021048379920802665,stable
sensor_163,0.07627261386899284,0.09729454149955818,0.0218698110212142,stable
sensor_216,0.07613372589921547,0.10486030861260281,0.010433482134273399,stable
sensor_582,0.07351022051883789,0.08879070083610907,0.04620285014660489,stable
sensor_272,0.07165306038849023,0.06019305281761944,0.34502979856510035,stable
sensor_357,0.07050588972991015,0.045850044184623746,0.6865294972495299,stable
sensor_1,0.0690148451256115,0.048874991502956974,0.6045905090951216,stable
sensor_200,0.06879627099775976,0.08927673169736931,0.04336492101707701,stable
sensor_212,0.06663605078225832,0.07514444973149337,0.13176648880899652,stable
